year,n,name,annio,periodo,mes,parametro
20210601,1909,Comunidad Valenciana,2021,Trimestre 2,6,Robos con violencia e intimidación
20210601,3,Comunidad Valenciana,2021,Trimestre 2,6,Secuestro
20210601,1122,Comunidad Valenciana,2021,Trimestre 2,6,Sustracciones de vehículos
20210601,961,Comunidad Valenciana,2021,Trimestre 2,6,Tráfico de drogas
20210901,170,Comunidad Valenciana,2021,Trimestre 3,9,Agresión sexual con penetración
20210901,22,Comunidad Valenciana,2021,Trimestre 3,9,Homicidios dolosos y asesinatos consumados
20210901,42044,Comunidad Valenciana,2021,Trimestre 3,9,Hurtos
20210901,1149,Comunidad Valenciana,2021,Trimestre 3,9,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210901,3204,Comunidad Valenciana,2021,Trimestre 3,9,Robos con violencia e intimidación
20210901,4,Comunidad Valenciana,2021,Trimestre 3,9,Secuestro
20210901,1838,Comunidad Valenciana,2021,Trimestre 3,9,Sustracciones de vehículos
20210901,1497,Comunidad Valenciana,2021,Trimestre 3,9,Tráfico de drogas
20211201,236,Comunidad Valenciana,2021,Trimestre 4,12,Agresión sexual con penetración
20211201,35,Comunidad Valenciana,2021,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20211201,57738,Comunidad Valenciana,2021,Trimestre 4,12,Hurtos
20211201,1592,Comunidad Valenciana,2021,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20211201,4578,Comunidad Valenciana,2021,Trimestre 4,12,Robos con violencia e intimidación
20211201,7,Comunidad Valenciana,2021,Trimestre 4,12,Secuestro
20211201,2491,Comunidad Valenciana,2021,Trimestre 4,12,Sustracciones de vehículos
20211201,1983,Comunidad Valenciana,2021,Trimestre 4,12,Tráfico de drogas
20220301,69,Comunidad Valenciana,2022,Trimestre 1,3,Agresión sexual con penetración
20220301,14,Comunidad Valenciana,2022,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20220301,15585,Comunidad Valenciana,2022,Trimestre 1,3,Hurtos
20220301,4379,Comunidad Valenciana,2022,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20220301,1366,Comunidad Valenciana,2022,Trimestre 1,3,Robos con violencia e intimidación
20220301,1,Comunidad Valenciana,2022,Trimestre 1,3,Secuestro
20220301,726,Comunidad Valenciana,2022,Trimestre 1,3,Sustracciones de vehículos
20220301,419,Comunidad Valenciana,2022,Trimestre 1,3,Tráfico de drogas
20191201,243,Madrid,2019,Trimestre 4,12,Agresión sexual con penetración
20191201,32,Madrid,2019,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20191201,154169,Madrid,2019,Trimestre 4,12,Hurtos
20191201,18239,Madrid,2019,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20191201,15372,Madrid,2019,Trimestre 4,12,Robos con violencia e intimidación
20191201,16,Madrid,2019,Trimestre 4,12,Secuestro
20191201,803,Madrid,2019,Trimestre 4,12,Sustracciones de vehículos
20191201,2577,Madrid,2019,Trimestre 4,12,Tráfico de drogas
20200301,58,Madrid,2020,Trimestre 1,3,Agresión sexual con penetración
20200301,12,Madrid,2020,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20200301,34364,Madrid,2020,Trimestre 1,3,Hurtos
20200301,4188,Madrid,2020,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200301,3371,Madrid,2020,Trimestre 1,3,Robos con violencia e intimidación
20200301,2,Madrid,2020,Trimestre 1,3,Secuestro
20200301,1781,Madrid,2020,Trimestre 1,3,Sustracciones de vehículos
20200301,626,Madrid,2020,Trimestre 1,3,Tráfico de drogas
20200601,101,Madrid,2020,Trimestre 2,6,Agresión sexual con penetración
